id,name,selling_price,category,description,image_url,is_active,prep_time,partner_slug
,Beetroot (Chukandar) Roti,50,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Beetroot%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Butter Tawa Roti,60,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Butter%20Tawa%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Tandoori Butter Roti,60,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Tandoori%20Butter%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Butter Spinach (Palak) Roti,60,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Butter%20Spinach%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Butter Beetroot (Chukandar) Roti,60,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Butter%20Beetroot%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Lachha Paratha,115,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Lachha%20Paratha.jpg&w=300&h=300&fit=cover&a=c,,15,
,Butter Naan,115,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Butter%20Naan.jpg&w=300&h=300&fit=cover&a=c,,15,
,Amritsari Kulcha,150,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Amritsari%20Kulcha.jpg&w=300&h=300&fit=cover&a=c,,15,
,Missi Roti,135,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Missi%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Bejad Roti,135,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Bejad%20Roti.jpg&w=300&h=300&fit=cover&a=c,,15,
,Garlic Naan,165,Breads,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Garlic%20Naan.jpg&w=300&h=300&fit=cover&a=c,,15,
,Veg. Fried Rice,310,Noodles & Rice,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Veg%20Fried%20Rice.jpg&w=300&h=300&fit=cover&a=c,,15,
,Chilly Garlic Fried Rice,320,Noodles & Rice,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Chilly%20Garlic%20Fried%20Rice.jpg&w=300&h=300&fit=cover&a=c,,15,
,Hakka Noodles,320,Noodles & Rice,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Hakka%20Noodles.jpg&w=300&h=300&fit=cover&a=c,,15,
,Veg. Chowmein,285,Noodles & Rice,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Veg%20Chowmein.jpg&w=300&h=300&fit=cover&a=c,,15,
,Chilly Garlic Noodle,290,Noodles & Rice,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Chilly%20Garlic%20Noodle.jpg&w=300&h=300&fit=cover&a=c,,15,
,Veg. Manchurian Gravy,420,Main,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Veg%20Manchurian%20Gravy.jpg&w=300&h=300&fit=cover&a=c,,15,
,Chilly Paneer Gravy,480,Main,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Chilly%20Paneer%20Gravy.jpg&w=300&h=300&fit=cover&a=c,,15,
,Salted Fries,215,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Salted%20Fries.jpg&w=300&h=300&fit=cover&a=c,,15,
,Mix Fries,225,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Mix%20Fries.jpg&w=300&h=300&fit=cover&a=c,,15,
,Masala Fries,230,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Masala%20Fries.jpg&w=300&h=300&fit=cover&a=c,,15,
,Chinese Bhel,265,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Chinese%20Bhel.jpg&w=300&h=300&fit=cover&a=c,,15,
,Spring Roll,295,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Spring%20Roll.jpg&w=300&h=300&fit=cover&a=c,,15,
,Honey Chilly Potato,310,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Honey%20Chilly%20Potato.jpg&w=300&h=300&fit=cover&a=c,,15,
,Malai Chaap (8 Pcs.),350,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Malai%20Chaap.jpg&w=300&h=300&fit=cover&a=c,,15,
,Tandoori Momos (6 Pcs.),285,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Tandoori%20Momos.jpg&w=300&h=300&fit=cover&a=c,,15,
,Paneer Tikka (8 Pcs.),385,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Paneer%20Tikka.jpg&w=300&h=300&fit=cover&a=c,,15,
,Soya Tikka Stuffed (6 Pcs.),370,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Soya%20Tikka%20Stuffed.jpg&w=300&h=300&fit=cover&a=c,,15,
,Dahi Ke Kebab (6 Pcs.),385,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Dahi%20Ke%20Kebab.jpg&w=300&h=300&fit=cover&a=c,,15,
,Hara Bhara Kebab (6 Pcs.),370,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Hara%20Bhara%20Kebab.jpg&w=300&h=300&fit=cover&a=c,,15,
,Veg Manchurian Dry (8 Pcs.),380,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Veg%20Manchurian%20Dry.jpg&w=300&h=300&fit=cover&a=c,,15,
,Chilly Paneer Dry (8 Pcs.),400,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Chilly%20Paneer%20Dry.jpg&w=300&h=300&fit=cover&a=c,,15,
,Garlic Bread,315,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Garlic%20Bread.jpg&w=300&h=300&fit=cover&a=c,,15,
,Cheese Garlic Bread,335,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Cheese%20Garlic%20Bread.jpg&w=300&h=300&fit=cover&a=c,,15,
,Crispy Corn,310,Starters & Snacks,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Crispy%20Corn.jpg&w=300&h=300&fit=cover&a=c,,15,
,Tomato Soup,290,Soups,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Tomato%20Soup.jpg&w=300&h=300&fit=cover&a=c,,15,
,Manchow Soup,290,Soups,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Manchow%20Soup.jpg&w=300&h=300&fit=cover&a=c,,15,
,Hot & Sour Soup,315,Soups,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Hot%20and%20Sour%20Soup.jpg&w=300&h=300&fit=cover&a=c,,15,
